,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",57.526,0.9855621321797371,57.7
1,1,"(2001, 3125)",59.804,0.8988827961683273,59.3
2,1,"(3001, 3125)",60.813,0.8652055590152741,59.7
3,2,"(1001, 3125)",61.875,0.8466943754553795,61.9
4,2,"(2001, 3125)",62.933,0.8295410389900207,61.6
5,2,"(3001, 3125)",64.88,0.8136758028268815,64.4
6,3,"(1001, 3125)",66.11,0.7868791818618774,63.9
7,3,"(2001, 3125)",66.762,0.7804651806652546,65.9
8,3,"(3001, 3125)",67.402,0.7747753496170044,66.2
9,4,"(1001, 3125)",67.944,0.7478133569657802,65.5
10,4,"(2001, 3125)",68.174,0.7441119495928288,65.9
11,4,"(3001, 3125)",68.895,0.7464139136373997,66.7
12,5,"(1001, 3125)",69.561,0.7231309704780579,67.7
13,5,"(2001, 3125)",70.159,0.7144270056784153,68.0
14,5,"(3001, 3125)",70.816,0.711699647128582,68.2
15,6,"(1001, 3125)",71.173,0.687570473819971,66.5
16,6,"(2001, 3125)",71.209,0.683925943762064,68.3
17,6,"(3001, 3125)",72.195,0.6835273597240448,67.0
18,7,"(1001, 3125)",72.871,0.658984707415104,69.5
19,7,"(2001, 3125)",73.213,0.6565590313076973,69.8
20,7,"(3001, 3125)",73.902,0.6670727762877942,70.4
21,8,"(1001, 3125)",74.021,0.6362130481898784,68.1
22,8,"(2001, 3125)",74.698,0.6434477844536305,68.9
23,8,"(3001, 3125)",75.064,0.6243305394649505,69.1
24,9,"(1001, 3125)",75.366,0.6104153680205345,69.6
25,9,"(2001, 3125)",75.994,0.6149194953143596,71.1
26,9,"(3001, 3125)",76.263,0.6109774253964424,70.7
27,10,"(1001, 3125)",76.772,0.5851115386486053,71.8
28,10,"(2001, 3125)",77.094,0.5837592753618955,71.9
29,10,"(3001, 3125)",77.529,0.597124147221446,70.7
