,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",54.919,1.0392846670746803,53.0
1,1,"(2001, 3125)",59.438,0.9009950950145721,59.8
2,1,"(3001, 3125)",60.909,0.8803780274391174,59.7
3,2,"(1001, 3125)",62.091,0.8525391557216644,62.0
4,2,"(2001, 3125)",61.995,0.8412017002105713,61.5
5,2,"(3001, 3125)",63.416,0.8369353765249252,62.6
6,3,"(1001, 3125)",63.903,0.8191881011128426,62.8
7,3,"(2001, 3125)",64.372,0.8124933059513569,61.8
8,3,"(3001, 3125)",64.785,0.8113709797561168,63.9
9,4,"(1001, 3125)",65.081,0.7962138192653656,63.1
10,4,"(2001, 3125)",65.597,0.7924486799538135,62.8
11,4,"(3001, 3125)",66.02,0.787459404528141,63.7
12,5,"(1001, 3125)",66.6,0.7711009622514248,63.4
13,5,"(2001, 3125)",66.717,0.7704620697796345,63.9
14,5,"(3001, 3125)",67.129,0.7680481519103051,63.4
15,6,"(1001, 3125)",67.635,0.7506181964874268,64.4
16,6,"(2001, 3125)",68.056,0.7504356650412083,63.9
17,6,"(3001, 3125)",68.296,0.7476298010647296,63.3
18,7,"(1001, 3125)",68.798,0.733127076804638,64.0
19,7,"(2001, 3125)",69.208,0.7260554472208023,64.3
20,7,"(3001, 3125)",69.754,0.7274675932824611,65.1
21,8,"(1001, 3125)",70.056,0.7064424024820328,65.1
22,8,"(2001, 3125)",70.522,0.7102564836144447,65.0
23,8,"(3001, 3125)",70.519,0.7115986087024212,64.9
24,9,"(1001, 3125)",71.473,0.6963255544900894,65.2
25,9,"(2001, 3125)",71.839,0.6910470805466175,65.8
26,9,"(3001, 3125)",72.229,0.685995024383068,64.9
27,10,"(1001, 3125)",72.335,0.6740198673903942,64.9
28,10,"(2001, 3125)",72.47,0.6739299680590629,64.5
29,10,"(3001, 3125)",72.536,0.6729049309492111,66.1
