,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",59.361,0.9750480455160141,56.7
1,1,"(2001, 3125)",61.512,0.8792472149133682,60.1
2,1,"(3001, 3125)",62.974,0.8510242248177529,60.8
3,2,"(1001, 3125)",64.638,0.8199327007234096,61.6
4,2,"(2001, 3125)",65.537,0.8113182847499847,62.4
5,2,"(3001, 3125)",65.442,0.8009868751764297,62.1
6,3,"(1001, 3125)",67.234,0.7688890792429447,62.0
7,3,"(2001, 3125)",68.235,0.7565943453609943,63.5
8,3,"(3001, 3125)",69.44,0.7534192202091217,64.2
9,4,"(1001, 3125)",71.26,0.702376738846302,65.1
10,4,"(2001, 3125)",71.57,0.709156871587038,64.0
11,4,"(3001, 3125)",73.465,0.7125523833632469,66.2
12,5,"(1001, 3125)",75.072,0.6393009257614612,66.0
13,5,"(2001, 3125)",76.226,0.645829636991024,65.6
14,5,"(3001, 3125)",77.079,0.6496954819858074,66.4
15,6,"(1001, 3125)",78.405,0.5765835057795048,65.6
16,6,"(2001, 3125)",80.654,0.5762088956832886,67.2
17,6,"(3001, 3125)",81.339,0.5802598528116941,65.9
18,7,"(1001, 3125)",83.111,0.4978335681259632,65.5
19,7,"(2001, 3125)",82.395,0.5069366260915995,66.7
20,7,"(3001, 3125)",85.137,0.5125444099158049,64.6
21,8,"(1001, 3125)",86.755,0.40608327953517437,65.6
22,8,"(2001, 3125)",87.672,0.43042624297738075,66.0
23,8,"(3001, 3125)",88.782,0.4368941922932863,64.9
24,9,"(1001, 3125)",89.604,0.3313604833558202,64.5
25,9,"(2001, 3125)",90.713,0.3503339814916253,63.2
26,9,"(3001, 3125)",91.62,0.35747235438227654,64.6
27,10,"(1001, 3125)",92.194,0.24986027437821032,65.6
28,10,"(2001, 3125)",92.193,0.2822971426695585,64.1
29,10,"(3001, 3125)",93.238,0.2997245510071516,65.6
