,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",56.748,0.9865040284395218,58.1
1,1,"(2001, 3125)",59.301,0.9006609623432159,59.2
2,1,"(3001, 3125)",60.835,0.8761476375460625,58.6
3,2,"(1001, 3125)",61.486,0.8465332069694996,59.4
4,2,"(2001, 3125)",63.25,0.8381601204276085,61.7
5,2,"(3001, 3125)",64.424,0.815607037961483,63.0
6,3,"(1001, 3125)",65.627,0.7944141981601716,64.8
7,3,"(2001, 3125)",66.448,0.7796131637692452,66.5
8,3,"(3001, 3125)",67.209,0.7672812215387821,66.0
9,4,"(1001, 3125)",68.219,0.7505745478570461,66.8
10,4,"(2001, 3125)",68.597,0.7486959966123105,67.6
11,4,"(3001, 3125)",69.023,0.736612138748169,68.4
12,5,"(1001, 3125)",69.615,0.7261863376796246,67.4
13,5,"(2001, 3125)",69.914,0.7109823258519172,68.2
14,5,"(3001, 3125)",70.328,0.7140200863778591,67.0
15,6,"(1001, 3125)",71.018,0.6919874738454819,66.9
16,6,"(2001, 3125)",71.34,0.6953340834975242,67.3
17,6,"(3001, 3125)",71.508,0.6895722932219506,67.6
18,7,"(1001, 3125)",72.152,0.6673191088438034,66.7
19,7,"(2001, 3125)",72.77,0.6618429448008537,68.8
20,7,"(3001, 3125)",73.333,0.6684704733192921,68.2
21,8,"(1001, 3125)",73.467,0.6354608029425144,68.7
22,8,"(2001, 3125)",73.593,0.6490936392843724,68.6
23,8,"(3001, 3125)",74.36,0.6357940741181374,69.8
24,9,"(1001, 3125)",75.242,0.6143209085166454,70.0
25,9,"(2001, 3125)",75.832,0.6176863956153393,70.7
26,9,"(3001, 3125)",75.728,0.6141238687038422,70.5
27,10,"(1001, 3125)",76.252,0.5893953653723002,69.8
28,10,"(2001, 3125)",76.926,0.5894989913851023,70.7
29,10,"(3001, 3125)",77.063,0.5962762988805771,69.8
