,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",61.181,0.9537774373292923,60.8
1,1,"(2001, 3125)",64.234,0.8412270702123642,63.5
2,1,"(3001, 3125)",66.259,0.8166913814246655,63.3
3,2,"(1001, 3125)",68.099,0.7669932750165462,64.8
4,2,"(2001, 3125)",67.853,0.7614132011532784,63.7
5,2,"(3001, 3125)",70.227,0.755051847755909,66.7
6,3,"(1001, 3125)",72.118,0.6966340163052082,67.4
7,3,"(2001, 3125)",72.661,0.6962921339273452,66.7
8,3,"(3001, 3125)",74.722,0.694206242799759,67.1
9,4,"(1001, 3125)",76.208,0.6238324622511864,67.3
10,4,"(2001, 3125)",75.873,0.6291193808913231,67.8
11,4,"(3001, 3125)",78.391,0.6387576452195645,67.6
12,5,"(1001, 3125)",79.502,0.5562646798044443,66.8
13,5,"(2001, 3125)",79.424,0.5695717392861843,67.8
14,5,"(3001, 3125)",82.278,0.5760512883961201,68.5
15,6,"(1001, 3125)",81.654,0.4922515754401684,65.6
16,6,"(2001, 3125)",81.815,0.5111560605615377,64.8
17,6,"(3001, 3125)",84.711,0.5158935333043337,66.0
18,7,"(1001, 3125)",83.945,0.43067173017561433,65.6
19,7,"(2001, 3125)",86.383,0.45271455669403077,67.6
20,7,"(3001, 3125)",87.246,0.4662742897719145,66.8
21,8,"(1001, 3125)",87.616,0.3729001834616065,65.1
22,8,"(2001, 3125)",88.834,0.39678236927092075,66.5
23,8,"(3001, 3125)",89.143,0.4194768778756261,64.6
24,9,"(1001, 3125)",90.043,0.3215044911205769,63.7
25,9,"(2001, 3125)",89.387,0.3485974279344082,66.4
26,9,"(3001, 3125)",91.525,0.3712934689074755,65.1
27,10,"(1001, 3125)",91.664,0.2732738343961537,65.6
28,10,"(2001, 3125)",90.836,0.30495367835462095,65.9
29,10,"(3001, 3125)",92.514,0.3327162457108498,66.7
