,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",59.875,0.9480055256485939,57.3
1,1,"(2001, 3125)",63.507,0.8533134486079216,61.9
2,1,"(3001, 3125)",65.298,0.8245371498465538,62.0
3,2,"(1001, 3125)",66.655,0.7762584758996963,62.5
4,2,"(2001, 3125)",68.618,0.7671641396582126,63.7
5,2,"(3001, 3125)",70.069,0.7546186978816987,65.1
6,3,"(1001, 3125)",71.973,0.6980177068710327,64.9
7,3,"(2001, 3125)",73.538,0.6937894656956196,65.8
8,3,"(3001, 3125)",74.06,0.6949628160893917,67.7
9,4,"(1001, 3125)",75.858,0.620581723511219,66.5
10,4,"(2001, 3125)",78.388,0.6290492165088654,67.2
11,4,"(3001, 3125)",79.104,0.6299705167710781,67.0
12,5,"(1001, 3125)",80.512,0.536552552074194,66.4
13,5,"(2001, 3125)",82.373,0.5463246869593859,66.6
14,5,"(3001, 3125)",83.167,0.554746575653553,67.4
15,6,"(1001, 3125)",85.366,0.4406757276207209,67.2
16,6,"(2001, 3125)",86.393,0.46039578852057456,66.6
17,6,"(3001, 3125)",88.264,0.46942136746644975,66.6
18,7,"(1001, 3125)",88.72,0.33815328066051004,64.8
19,7,"(2001, 3125)",90.111,0.3732675925269723,68.1
20,7,"(3001, 3125)",90.914,0.38229901932179927,67.0
21,8,"(1001, 3125)",92.365,0.25208827410638335,64.8
22,8,"(2001, 3125)",93.516,0.2808570998981595,65.0
23,8,"(3001, 3125)",94.131,0.3051847602277994,64.3
24,9,"(1001, 3125)",93.335,0.18398334772139788,64.5
25,9,"(2001, 3125)",94.704,0.21586811000853776,65.6
26,9,"(3001, 3125)",95.429,0.2386118102706969,65.3
27,10,"(1001, 3125)",95.754,0.13779384457319974,64.0
28,10,"(2001, 3125)",95.984,0.17195531521737575,66.0
29,10,"(3001, 3125)",95.804,0.19232072962448002,66.1
