,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",58.299,0.9777917591929436,58.5
1,1,"(2001, 3125)",62.338,0.8748187062740326,60.7
2,1,"(3001, 3125)",63.777,0.8468841782808304,62.7
3,2,"(1001, 3125)",65.515,0.8127970038056374,62.9
4,2,"(2001, 3125)",66.51,0.801094042301178,63.6
5,2,"(3001, 3125)",67.502,0.7880226448476314,64.9
6,3,"(1001, 3125)",68.567,0.7706544682979584,66.7
7,3,"(2001, 3125)",68.971,0.7656577036082745,66.0
8,3,"(3001, 3125)",69.543,0.7535450344383716,66.1
9,4,"(1001, 3125)",70.524,0.7358336385786534,67.5
10,4,"(2001, 3125)",71.161,0.7379919320940972,68.6
11,4,"(3001, 3125)",71.125,0.7319552735388279,68.2
12,5,"(1001, 3125)",72.182,0.7114547823965549,68.1
13,5,"(2001, 3125)",72.452,0.7069610711634159,69.5
14,5,"(3001, 3125)",72.419,0.710534883826971,67.1
15,6,"(1001, 3125)",73.306,0.679765526086092,68.7
16,6,"(2001, 3125)",73.522,0.6945983989238739,68.4
17,6,"(3001, 3125)",74.423,0.6954994713366032,69.3
18,7,"(1001, 3125)",74.917,0.6633998702466488,69.9
19,7,"(2001, 3125)",74.917,0.6719749411642552,70.0
20,7,"(3001, 3125)",75.182,0.6736740983724594,69.3
21,8,"(1001, 3125)",76.045,0.6404910184442997,70.7
22,8,"(2001, 3125)",75.893,0.6543998139202595,71.4
23,8,"(3001, 3125)",76.451,0.6625530584454536,70.9
24,9,"(1001, 3125)",77.167,0.6296259142160415,70.9
25,9,"(2001, 3125)",77.116,0.6369216824769974,70.6
26,9,"(3001, 3125)",77.773,0.6496880330741406,71.8
27,10,"(1001, 3125)",77.317,0.6127033784985543,72.0
28,10,"(2001, 3125)",78.471,0.6207036842703819,72.3
29,10,"(3001, 3125)",79.162,0.6336536443531513,71.7
