,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",56.81,0.9817482495903969,55.1
1,1,"(2001, 3125)",59.49,0.9004527141451836,58.1
2,1,"(3001, 3125)",60.997,0.8696418337821961,60.4
3,2,"(1001, 3125)",62.301,0.8514496414363384,60.5
4,2,"(2001, 3125)",64.001,0.824905873388052,61.8
5,2,"(3001, 3125)",64.82,0.8080895810723304,62.4
6,3,"(1001, 3125)",66.142,0.78330784791708,66.0
7,3,"(2001, 3125)",66.723,0.7759570477008819,65.8
8,3,"(3001, 3125)",67.806,0.7668614370524883,64.4
9,4,"(1001, 3125)",68.243,0.7463118775784969,67.6
10,4,"(2001, 3125)",68.794,0.7411887479424477,66.3
11,4,"(3001, 3125)",69.247,0.7340510202646255,67.0
12,5,"(1001, 3125)",69.821,0.712386443644762,68.4
13,5,"(2001, 3125)",70.193,0.7138841501176357,68.1
14,5,"(3001, 3125)",71.121,0.7084198577702046,67.5
15,6,"(1001, 3125)",71.491,0.6845099509358407,68.3
16,6,"(2001, 3125)",71.768,0.6794686492979527,68.8
17,6,"(3001, 3125)",72.724,0.6788062383830548,69.2
18,7,"(1001, 3125)",73.077,0.6554195411503315,68.7
19,7,"(2001, 3125)",73.646,0.6499988002479077,68.0
20,7,"(3001, 3125)",74.269,0.6475402812063694,69.5
21,8,"(1001, 3125)",74.837,0.6224290653169156,69.8
22,8,"(2001, 3125)",74.769,0.6244965415894985,68.6
23,8,"(3001, 3125)",75.506,0.6233612031638622,68.8
24,9,"(1001, 3125)",76.287,0.5949202485382556,70.0
25,9,"(2001, 3125)",76.408,0.5977903463542461,69.9
26,9,"(3001, 3125)",77.252,0.6022442525625229,69.7
27,10,"(1001, 3125)",77.695,0.5634203403145075,69.9
28,10,"(2001, 3125)",78.257,0.5698992007076741,70.7
29,10,"(3001, 3125)",78.114,0.5746344203650952,70.5
