,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",58.832,0.983400523,57.7
1,1,"(2001, 3125)",60.463,0.879241182,58.9
2,1,"(3001, 3125)",62.056,0.854569572,60.5
3,2,"(1001, 3125)",63.987,0.830215664,61.6
4,2,"(2001, 3125)",64.82,0.818089819,64.6
5,2,"(3001, 3125)",65.47,0.807526027,63
6,3,"(1001, 3125)",66.293,0.782491598,62.4
7,3,"(2001, 3125)",67.416,0.773340993,64.1
8,3,"(3001, 3125)",68.093,0.77112243,65.3
9,4,"(1001, 3125)",69.423,0.73880907,64
10,4,"(2001, 3125)",69.669,0.730492834,63.8
11,4,"(3001, 3125)",70.759,0.734241476,64.7
12,5,"(1001, 3125)",71.983,0.690596907,62.5
13,5,"(2001, 3125)",72.615,0.696835973,65.4
14,5,"(3001, 3125)",73.775,0.690275811,65.4
15,6,"(1001, 3125)",74.078,0.640196991,64.7
16,6,"(2001, 3125)",75.527,0.653471621,64.5
17,6,"(3001, 3125)",75.977,0.649354556,64.4
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
18,7,"(1001, 3125)",77.789,0.589961631,64.3
