,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",56.714,0.9856835767030716,56.0
1,1,"(2001, 3125)",59.869,0.898344401896,59.7
2,1,"(3001, 3125)",61.49,0.8653554638028145,61.6
3,2,"(1001, 3125)",62.447,0.8381755177676677,61.3
4,2,"(2001, 3125)",63.893,0.8258542295098305,62.9
5,2,"(3001, 3125)",65.114,0.8057986394166946,64.3
6,3,"(1001, 3125)",66.187,0.7714605421721935,65.2
7,3,"(2001, 3125)",67.458,0.7696210995018482,65.2
8,3,"(3001, 3125)",67.674,0.7679647964835167,65.9
9,4,"(1001, 3125)",68.15,0.7398433011174202,65.7
10,4,"(2001, 3125)",68.659,0.7366224946081639,68.2
11,4,"(3001, 3125)",69.41,0.7283900552093983,66.6
12,5,"(1001, 3125)",69.446,0.706919238448143,67.3
13,5,"(2001, 3125)",70.718,0.7104681841731072,68.3
14,5,"(3001, 3125)",71.244,0.6982460719048977,69.4
15,6,"(1001, 3125)",72.01,0.6772637153863907,68.8
16,6,"(2001, 3125)",72.646,0.6708666277229786,69.4
17,6,"(3001, 3125)",72.716,0.6694277744591236,69.9
18,7,"(1001, 3125)",73.529,0.6363290019333363,68.8
19,7,"(2001, 3125)",74.324,0.6433714070320129,70.6
20,7,"(3001, 3125)",74.152,0.6480406598448754,68.2
21,8,"(1001, 3125)",74.963,0.6195045574009419,70.9
22,8,"(2001, 3125)",75.526,0.6083083336651325,70.5
23,8,"(3001, 3125)",75.857,0.6219814702868461,70.6
24,9,"(1001, 3125)",76.468,0.5847659141421319,71.0
25,9,"(2001, 3125)",76.723,0.5933220663368702,71.0
26,9,"(3001, 3125)",77.407,0.5943689374476672,71.2
27,10,"(1001, 3125)",77.643,0.5608581018447876,69.8
28,10,"(2001, 3125)",78.182,0.5681725561767816,70.4
29,10,"(3001, 3125)",78.468,0.5687552745938301,70.4
